# Function names imported by Shadow Fight 2 .s3e from the Marmalade loader
# Source: ShadowFight2.bin offset 0x1529..0x2bbf
# Total: 346 entries (filtered to valid C identifiers only)
# Format: <offset> <name>

0x0000216f s3ePointerUnRegister
0x00002184 glLightModelxv
0x00002193 glNormal3x
0x0000219e s3eDeviceCheckQuitRequest
0x000021b8 s3eAudioSetInt
0x000021c7 eglInitialize
0x000021d5 glEndQuery
0x000021e0 glBlendFuncSeparate
0x000021f4 s3eDebugOutputString
0x00002209 s3eSocketGetString
0x0000221c glEnable
0x00002225 glPolygonOffsetx
0x00002236 glLightModelf
0x00002244 glVertexAttribFormat
0x00002259 s3eMemorySetUserMemMgr
0x00002270 glLoadMatrixf
0x0000227e s3eSurfaceSetup
0x0000228e glUniformMatrix4x2fv
0x000022a3 glGenProgramPipelines
0x000022b9 glDepthFunc
0x000022c5 glDrawElements
0x000022d4 glUniformMatrix4x3fv
0x000022e9 glStencilOp
0x000022f5 s3eCompressionDecompRead
0x0000230e glFogf
0x00002315 glTexParameterx
0x00002325 glDisable
0x0000232f glViewport
0x0000233a glVertexAttribIFormat
0x00002350 s3eSoundChannelStop
0x00002364 glMaterialxv
0x00002371 glStencilFuncSeparate
0x00002387 eglQueryContext
0x00002397 s3eVideoStop
0x000023a4 glVertexAttribIPointer
0x000023bb s3eSoundPauseAllChannels
0x000023d4 s3eDebugGetInt
0x000023e3 s3eSoundChannelSetInt
0x000023f9 glUniformMatrix2x3fv
0x0000240e glLinkProgram
0x0000241c glSamplerParameteriv
0x00002431 glBindProgramPipeline
0x00002447 glTexImage2D
0x00002454 glClearDepthf
0x00002462 s3ePointerRegister
0x00002475 eglGetConfigs
0x00002483 eglQueryString
0x00002492 s3eAudioPause
0x000024a0 glUniformMatrix4fv
0x000024b3 s3eExtGetHash
0x000024c1 eglGetCurrentContext
0x000024d6 s3eAudioStop
0x000024e3 glActiveShaderProgram
0x000024f9 glDeleteShader
0x00002508 eglDestroyContext
0x0000251a s3eKeyboardUnRegister
0x00002530 glBindSampler
0x0000253e glGetQueryObjectuiv
0x00002552 glColorPointer
0x00002561 glColorMask
0x0000256d glBeginQuery
0x0000257a s3eKeyboardGetState
0x0000258e glUniform1uiv
0x0000259c glTexParameteri
0x000025ac glGetIntegerv
0x000025ba glUniformMatrix3fv
0x000025cd glUniformMatrix2fv
0x000025e0 s3eFileTell
0x000025ec glFogxv
0x000025f4 glStencilFunc
0x00002602 glUniformMatrix3x2fv
0x00002617 glClear
0x0000261f glCullFace
0x0000262a glFramebufferParameteri
0x00002642 s3eTimerGetUST
0x00002651 glGetActiveUniform
0x00002664 s3eSocketReadable
0x00002676 s3eFileGetSize
0x00002685 s3eFileGetError
0x00002695 glStencilMask
0x000026a3 glNormal3f
0x000026ae s3eSoundChannelPlay
0x000026c2 s3eFileReadString
