000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
0074cbc9		ds "Row pixels integer overflow (rowpixels %u)"	s_Row_pixels_integer_overflow_(row_0074cbc9
0074cbf5		ds "for Group 3/4 run arrays"	s_for_Group_3/4_run_arrays_0074cbf5
0074cc11		ds "No space for Group 3/4 reference line"	s_No_space_for_Group_3/4_reference_0074cc11
0074cc3d		ds "  Group 4 Options:"	s_Group_4_Options:_0074cc3d
0074cc51		ds "%suncompressed data"	s_%suncompressed_data_0074cc51
0074cc65		ds "  Group 3 Options:"	s_Group_3_Options:_0074cc65
0074cc79		ds "%s2-d encoding"	s_%s2-d_encoding_0074cc79
0074cc89		ds "%sEOL padding"	s_%sEOL_padding_0074cc89
0074cc99		ds " (%lu = 0x%lx)\n"	s_(%lu_=_0x%lx)_0074cc99
0074cca9		ds "  Fax Data:"	s_Fax_Data:_0074cca9
0074ccb5		ds " clean"	s_clean_0074ccb5
0074ccbd		ds " receiver regenerated"	s_receiver_regenerated_0074ccbd
0074ccd5		ds " uncorrected errors"	s_uncorrected_errors_0074ccd5
0074cce9		ds " (%u = 0x%x)\n"	s_(%u_=_0x%x)_0074cce9
0074ccf9		ds "  Bad Fax Lines: %lu\n"	s_Bad_Fax_Lines:_%lu_0074ccf9
0074cd11		ds "  Consecutive Bad Fax Lines: %lu\n"	s_Consecutive_Bad_Fax_Lines:_%lu_0074cd11
0074cd35		ds "Premature EOL"	s_Premature_EOL_0074cd35
0074cd45		ds "Line length mismatch"	s_Line_length_mismatch_0074cd45
0074cd5d		ds "Fractional scanlines cannot be read"	s_Fractional_scanlines_cannot_be_r_0074cd5d
0074cd81		ds "Bad code word at line %u of %s %u (x %u)"	s_Bad_code_word_at_line_%u_of_%s_%_0074cd81
0074cdad		ds "Premature EOF at line %u of %s %u (x %u)"	s_Premature_EOF_at_line_%u_of_%s_%_0074cdad
0074cdd9		ds "%s at line %u of %s %u (got %u, expected %u)"	s_%s_at_line_%u_of_%s_%u_(got_%u,_e_0074cdd9
0074ce09		ds "Fractional scanlines cannot be written"	s_Fractional_scanlines_cannot_be_w_0074ce09
0074ce31		ds "Uncompressed data (not supported) at line %u of %s %u (x %u)"	s_Uncompressed_data_(not_supported_0074ce31
0074ce71		ds "Merging common CCITT Fax codec-specific tags failed"	s_Merging_common_CCITT_Fax_codec-s_0074ce71
0074cea5		ds "No space for state block"	s_No_space_for_state_block_0074cea5
0074cec1		ds "TIFFInitCCITTFax3"	s_TIFFInitCCITTFax3_0074cec1
0074ced5		ds "Merging CCITT Fax 3 codec-specific tags failed"	s_Merging_CCITT_Fax_3_codec-specif_0074ced5
0074cf05		ds "TIFFInitCCITTFax4"	s_TIFFInitCCITTFax4_0074cf05
0074cf19		ds "Merging CCITT Fax 4 codec-specific tags failed"	s_Merging_CCITT_Fax_4_codec-specif_0074cf19
0074cf49		ds "Group4Options"	s_Group4Options_0074cf49
0074cf59		ds "Group3Options"	s_Group3Options_0074cf59
0074cf69		ds "FaxMode"	s_FaxMode_0074cf69
0074cf71		ds "FaxFillFunc"	s_FaxFillFunc_0074cf71
0074cf7d		ds "BadFaxLines"	s_BadFaxLines_0074cf7d
0074cf89		ds "CleanFaxData"	s_CleanFaxData_0074cf89
0074cf99		ds "ConsecutiveBadFaxLines"	s_ConsecutiveBadFaxLines_0074cf99
0074d4b4		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0074d5b4		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0074dab4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0074e534		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0074e934		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0074f534		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0074f934		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0074fab4		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0074fd34		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
00750534		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
007509b4		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00750ab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007514b4		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
007515b4		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00751ab4		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
00752534		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
00752934		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
00752ab4		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
00753534		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
00753934		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00753ab4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
00753d34		addr s_s3eAccelerometerStart_00002b00	DATA
00754534		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
007549b4		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00754ab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007554b4		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
007555b4		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00755ab4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
00756534		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
00756934		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00757534		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
00757934		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
00757ab4		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
00757d34		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
00758534		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
007589b4		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00758ab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007594b4		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
007595b4		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00759ab4		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075a534		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075a934		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075aab4		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075b534		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075b934		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075bab4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075bd34		addr s_s3eAccelerometerStart_00002b00	DATA
0075c534		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075c9b4		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075cab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075d004		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075d014		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075d034		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075d044		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075d054		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075d0f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075d154		addr s_s3eAccelerometerStart_00002b00	DATA
0075d1b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075d1f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075d254		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075d274		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075d2b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075d2d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075d2f4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075d304		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075d404		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075d414		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075d434		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075d444		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075d4f4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075d5b4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075d5f4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075d654		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075d674		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075d6b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075d6d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075d6f4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075d704		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075d804		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075d814		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075d834		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075d844		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075d854		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075d8f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075d954		addr s_s3eAccelerometerStart_00002b00	DATA
0075d9b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075d9f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075da54		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075da74		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075dab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075dad4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075daf4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075db04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075dc04		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075dc14		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075dc34		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075dc44		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075dcf4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075ddb4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075ddf4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075de54		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075de74		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075deb4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075ded4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075def4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075df04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075e004		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075e014		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075e034		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075e044		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075e054		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075e0f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075e154		addr s_s3eAccelerometerStart_00002b00	DATA
0075e1b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075e1f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075e254		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075e274		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075e2b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075e2d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075e2f4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075e304		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075e404		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075e414		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075e434		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075e444		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075e4f4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075e5b4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075e5f4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075e654		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075e674		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075e6b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075e6d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075e6f4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075e704		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075e804		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075e814		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075e834		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075e844		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075e854		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075e8f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075e954		addr s_s3eAccelerometerStart_00002b00	DATA
0075e9b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075e9f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075ea54		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075ea74		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075eab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075ead4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075eaf4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075eb04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075ec04		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075ec14		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075ec34		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075ec44		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075ecf4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075edb4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075edf4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075ee54		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075ee74		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075eeb4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075eed4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075eef4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075ef04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075f004		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075f014		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075f034		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075f044		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075f054		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075f0f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075f154		addr s_s3eAccelerometerStart_00002b00	DATA
0075f1b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075f1f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075f254		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075f274		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075f2b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075f2d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075f2f4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075f304		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075f404		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075f414		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075f434		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075f444		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075f4f4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075f5b4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075f5f4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075f654		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075f674		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075f6b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075f6d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075f6f4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075f704		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075f804		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075f814		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075f834		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075f844		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075f854		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
0075f8f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
0075f954		addr s_s3eAccelerometerStart_00002b00	DATA
0075f9b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
0075f9f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
0075fa54		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
0075fa74		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
0075fab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075fad4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075faf4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
0075fb04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
0075fc04		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
0075fc14		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
0075fc34		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
0075fc44		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
0075fcf4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
0075fdb4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
0075fdf4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
0075fe54		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
0075fe74		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
0075feb4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
0075fed4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
0075fef4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
0075ff04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00760004		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00760014		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00760034		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00760044		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00760054		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
007600f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
00760154		addr s_s3eAccelerometerStart_00002b00	DATA
007601b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
007601f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
00760254		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
00760274		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
007602b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007602d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
007602f4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
00760304		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00760404		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00760414		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00760434		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00760444		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
007604f4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
007605b4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
007605f4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
00760654		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
00760674		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
007606b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007606d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
007606f4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
00760704		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00760804		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00760814		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00760834		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00760844		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00760854		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
007608f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
00760954		addr s_s3eAccelerometerStart_00002b00	DATA
007609b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
007609f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
00760a54		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
00760a74		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
00760ab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
00760ad4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
00760af4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
00760b04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00760c04		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00760c14		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00760c34		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00760c44		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00760cf4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
00760db4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
00760df4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
00760e54		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
00760e74		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
00760eb4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
00760ed4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
00760ef4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
00760f04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00761004		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00761014		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00761034		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00761044		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00761054		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
007610f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
00761154		addr s_s3eAccelerometerStart_00002b00	DATA
007611b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
007611f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
00761254		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
00761274		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
007612b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007612d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
007612f4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
00761304		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00761404		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00761414		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00761434		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00761444		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
007614f4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
007615b4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
007615f4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
00761654		addr s_ertexBuffer_000029f9+7	DATA<< OFFCUT >>
00761674		addr s_ActiveTexture_00001ffe+2	DATA<< OFFCUT >>
007616b4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
007616d4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
007616f4		addr s_c_000025f4+0xc	DATA<< OFFCUT >>
00761704		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00761804		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00761814		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00761834		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00761844		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00761854		addr s_FileDelete_000026fd+3	DATA<< OFFCUT >>
007618f4		addr s_ionDecompRead_000022f5+0xb	DATA<< OFFCUT >>
00761954		addr s_s3eAccelerometerStart_00002b00	DATA
007619b4		addr s_SubImage3D_00001cfb+5	DATA<< OFFCUT >>
007619f4		addr s_htModelfv_000020fb+5	DATA<< OFFCUT >>
00761a54		addr s_iv_000028f2+0xe	DATA<< OFFCUT >>
00761a74		addr s_ShaderSource_00001efb+5	DATA<< OFFCUT >>
00761ab4		addr s_lGetRenderbufferParameteriv_000015ff+1	DATA<< OFFCUT >>
00761ad4		addr s_ndAPI_000019fb+5	DATA<< OFFCUT >>
00761af4		addr s_eShader_000024f9+7	DATA<< OFFCUT >>
00761b04		addr s_etTimer_000018f7+9	DATA<< OFFCUT >>
00761c04		addr s_4fv_000017f7+9	DATA<< OFFCUT >>
00761c14		addr s_etShaderInfoLog_00001bfd+3	DATA<< OFFCUT >>
00761c34		addr s_lDisableClientState_000016ff+1	DATA<< OFFCUT >>
00761c44		addr s_ssedTexImage2D_00001af8+8	DATA<< OFFCUT >>
00761cf4		addr s_rmMatrix2x3fv_000023f9+7	DATA<< OFFCUT >>
00761db4		addr s_istClose_00001df8+8	DATA<< OFFCUT >>
00761df4		addr s_utString_000021f4+0xc	DATA<< OFFCUT >>
