000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
00001af8		ds "glCompressedTexImage2D"	s_glCompressedTexImage2D_00001af8
00001b0f		ds "glTexImage3D"	s_glTexImage3D_00001b0f
00001b1c		ds "glHint"	s_glHint_00001b1c
00001b23		ds "glMaterialfv"	s_glMaterialfv_00001b23
00001b30		ds "glCreateProgram"	s_glCreateProgram_00001b30
00001b40		ds "glUseProgramStages"	s_glUseProgramStages_00001b40
00001b53		ds "glBlendColor"	s_glBlendColor_00001b53
00001b60		ds "glUniform2iv"	s_glUniform2iv_00001b60
00001b6d		ds "glVertexAttribBinding"	s_glVertexAttribBinding_00001b6d
00001b83		ds "s3eFileGetFileInt"	s_s3eFileGetFileInt_00001b83
00001b95		ds "eglCreateContext"	s_eglCreateContext_00001b95
00001ba6		ds "glSamplerParameterfv"	s_glSamplerParameterfv_00001ba6
00001bbb		ds "glTexEnvx"	s_glTexEnvx_00001bbb
00001bc5		ds "glBindBufferRange"	s_glBindBufferRange_00001bc5
00001bd7		ds "glTexStorage2DMultisample"	s_glTexStorage2DMultisample_00001bd7
00001bf1		ds "glMaterialx"	s_glMaterialx_00001bf1
00001bfd		ds "glGetShaderInfoLog"	s_glGetShaderInfoLog_00001bfd
00001c10		ds "s3eFileRead"	s_s3eFileRead_00001c10
00001c1c		ds "glTexParameterfv"	s_glTexParameterfv_00001c1c
00001c2d		ds "s3eDeviceGetString"	s_s3eDeviceGetString_00001c2d
00001c40		ds "s3eFileOpenFromMemory"	s_s3eFileOpenFromMemory_00001c40
00001c56		ds "glDrawBuffers"	s_glDrawBuffers_00001c56
00001c64		ds "glUseProgram"	s_glUseProgram_00001c64
00001c71		ds "glClearStencil"	s_glClearStencil_00001c71
00001c80		ds "s3eTimerGetUTC"	s_s3eTimerGetUTC_00001c80
00001c8f		ds "glAlphaFunc"	s_glAlphaFunc_00001c8f
00001c9b		ds "glPolygonOffset"	s_glPolygonOffset_00001c9b
00001cab		ds "glLogicOp"	s_glLogicOp_00001cab
00001cb5		ds "s3eDeviceAbort"	s_s3eDeviceAbort_00001cb5
00001cc4		ds "s3eFileWrite"	s_s3eFileWrite_00001cc4
00001cd1		ds "s3eSoundSetInt"	s_s3eSoundSetInt_00001cd1
00001ce0		ds "glLightModelx"	s_glLightModelx_00001ce0
00001cee		ds "glAlphaFuncx"	s_glAlphaFuncx_00001cee
00001cfb		ds "glTexSubImage3D"	s_glTexSubImage3D_00001cfb
00001d0b		ds "glShaderSource"	s_glShaderSource_00001d0b
